Site,Site,Latitude,Longitude,Year,count
D4031,D4031,24.479979999999998,-81.71613,2007,54
D4033,D4033,24.49188,-81.66123,2007,52
D4034,D4034,24.49253,-81.66145,2007,13
D4036,D4036,24.542379999999998,-81.41462,2007,79
D4038,D4038,24.546979999999998,-81.40602,2007,8
D4039,D4039,24.62583,-81.10847,2007,42
D4040,D4040,24.62622,-81.10947,2007,35
D4043,D4043,25.01762,-80.36399999999999,2007,117
D4046,D4046,25.221970000000002,-80.21011999999999,2007,43
D4047,D4047,25.22493,-80.20936999999999,2007,51
D4051,D4051,24.69335,-83.02377,2007,66
D4053,D4053,24.67909,-83.03599,2007,109
D4064,D4064,24.5202,-81.94445,2007,110
D4065,D4065,25.1034,-80.3441,2007,38
D4066,D4066,25.21681,-80.28685,2007,51
D4067,D4067,25.23366,-80.26131,2007,59
D4068,D4068,24.45802,-82.1657,2007,30
D4069,D4069,24.45872,-82.2061,2007,28
D4070,D4070,24.45352,-82.19483000000001,2007,28
D4071,D4071,24.4512,-82.15572,2007,60
D4072,D4072,24.53603,-82.1414,2007,13
D4073,D4073,24.5302,-82.0167,2007,80
D4074,D4074,24.469520000000003,-82.03883,2007,47
D4079,D4079,26.14526,-80.0974,2007,11
D4080,D4080,26.72317,-80.01807,2007,23
E1001,E1001,24.511860000000002,-81.93111999999999,2008,146
E1004,E1004,24.48142,-81.94006999999999,2008,151
E1005,E1005,24.499570000000002,-81.73581999999999,2008,139
E1008,E1008,24.52325,-81.68348,2008,249
E1010,E1010,24.54068,-81.64517,2008,110
E1012,E1012,24.52662,-81.63083,2008,193
E1013,E1013,24.52608,-81.62522,2008,239
E1014,E1014,24.55406,-81.58247,2008,280
E1015,E1015,24.55213,-81.56756999999999,2008,290
E1016,E1016,24.557170000000003,-81.51013,2008,156
E1017,E1017,24.592670000000002,-81.36565,2008,189
E1019,E1019,24.45576,-81.89445,2008,73
E1020,E1020,24.46791,-81.88676,2008,162
E1021,E1021,24.47336,-81.88201,2008,190
E1022,E1022,24.47886,-81.88207,2008,82
E1025,E1025,24.50092,-81.69525,2008,107
E1028,E1028,24.46483,-81.83598,2008,39
E1030,E1030,24.49972,-81.63141999999999,2008,36
E1031,E1031,24.495929999999998,-81.6604,2008,13
E1032,E1032,24.512520000000002,-81.57135,2008,6
E1036,E1036,24.47803,-81.75618,2008,65
E1037,E1037,24.477529999999998,-81.73931999999999,2008,24
E1038,E1038,24.47908,-81.68255,2008,52
E1039,E1039,24.5139,-81.5666,2008,42
E1040,E1040,24.54785,-81.44693000000001,2008,32
E1041,E1041,24.4525,-81.87541999999999,2008,71
E1042,E1042,24.474320000000002,-81.75641999999999,2008,62
E1043,E1043,24.4747,-81.73513,2008,74
E1044,E1044,24.47467,-81.72742,2008,77
E1045,E1045,24.500320000000002,-81.6234,2008,58
E1046,E1046,24.50582,-81.58787,2008,58
E1047,E1047,24.52028,-81.52865,2008,94
E1048,E1048,24.531,-81.4729,2008,119
E1049,E1049,24.552979999999998,-81.3742,2008,52
E1050,E1050,24.45835,-81.8838,2008,76
E1052,E1052,24.444029999999998,-81.96925,2008,43
E1054,E1054,24.509420000000002,-81.58582,2008,76
E1055,E1055,24.52745,-81.48862,2008,135
E1056,E1056,24.69792,-81.03658,2008,74
E1059,E1059,24.69792,-81.02548,2008,196
E1060,E1060,24.69431,-81.02274,2008,187
E1063,E1063,24.69986,-80.96645,2008,131
E1064,E1064,24.700870000000002,-80.96513,2008,86
E1065,E1065,24.62744,-81.11165,2008,16
E1066,E1066,24.626920000000002,-81.10781999999999,2008,51
E1067,E1067,24.66292,-81.00635,2008,56
E1070,E1070,24.79702,-80.7411,2008,33
E1072,E1072,24.70123,-80.89697,2008,75
E1073,E1073,24.61825,-81.15605,2008,61
E1074,E1074,24.6254,-81.12355,2008,86
E1075,E1075,24.69905,-80.91285,2008,65
E1078,E1078,24.612820000000003,-81.14368,2008,112
E1079,E1079,24.61908,-81.12732,2008,105
E1080,E1080,24.62175,-81.1118,2008,215
E1081,E1081,24.629279999999998,-81.09248000000001,2008,127
E1082,E1082,24.64937,-81.0231,2008,56
E1084,E1084,24.69432,-80.90435,2008,103
E1085,E1085,24.75432,-80.75936999999999,2008,150
E1086,E1086,24.7772,-80.71767,2008,40
E1087,E1087,24.96464,-80.54507,2008,3
E1088,E1088,24.966379999999997,-80.53531,2008,9
E1089,E1089,24.892329999999998,-80.62321,2008,10
E1090,E1090,24.904339999999998,-80.61046999999999,2008,40
E1091,E1091,24.90853,-80.55975,2008,2
E1092,E1092,24.910510000000002,-80.55951999999999,2008,8
E1094,E1094,24.93545,-80.54766,2008,30
E1096,E1096,25.06505,-80.39441,2008,66
E1097,E1097,25.10107,-80.34443,2008,42
E1098,E1098,25.21415,-80.28756,2008,59
E1105,E1105,24.87955,-80.57755999999999,2008,12
E1107,E1107,25.01703,-80.42616,2008,83
E1111,E1111,25.12203,-80.29823,2008,44
E1112,E1112,25.15334,-80.26749000000001,2008,46
E1114,E1114,25.17248,-80.25692,2008,70
E1115,E1115,25.16875,-80.25131,2008,127
E1118,E1118,25.18913,-80.23491999999999,2008,38
E1120,E1120,25.23412,-80.21826,2008,15
E1122,E1122,25.14067,-80.29472,2008,153
E1123,E1123,24.98378,-80.41833000000001,2008,44
E1125,E1125,24.99158,-80.44435,2008,41
E1132,E1132,25.19981,-80.23066999999999,2008,30
E1133,E1133,25.24673,-80.22059,2008,24
E1134,E1134,24.939420000000002,-80.4819,2008,67
E1135,E1135,24.94077,-80.47984,2008,18
E1137,E1137,24.8852,-80.57344,2008,9
E1140,E1140,25.091929999999998,-80.30656,2008,19
E1141,E1141,25.10959,-80.29079,2008,5
E1143,E1143,25.23723,-80.21043,2008,63
E1146,E1146,24.87209,-80.57555,2008,60
E1147,E1147,24.88306,-80.56168000000001,2008,46
E1150,E1150,25.19959,-80.22327,2008,24
E1152,E1152,25.23762,-80.20476,2008,68
E1155,E1155,25.283070000000002,-80.17423000000001,2008,38
E1156,E1156,24.88859,-80.54794,2008,153
E1158,E1158,25.16394,-80.23727,2008,23
E1160,E1160,25.44793,-80.1779,2008,177
E1161,E1161,25.46365,-80.16808,2008,112
E1171,E1171,25.39639,-80.16986,2008,171
E1172,E1172,25.36257,-80.16642,2008,84
E1175,E1175,25.412589999999998,-80.15981,2008,139
E1176,E1176,25.42159,-80.15576999999999,2008,114
E1181,E1181,25.466639999999998,-80.13755,2008,76
E1183,E1183,25.441329999999997,-80.13375,2008,127
E1189,E1189,25.373170000000002,-80.13655,2008,100
E1192,E1192,25.46397,-80.12835,2008,92
E1196,E1196,25.4539,-80.12172,2008,45
E1197,E1197,25.5768,-80.10105,2008,89
E1203,E1203,25.65059,-80.09638000000001,2008,58
E1204,E1204,25.54223,-80.09521,2008,67
E1205,E1205,25.58635,-80.09185,2008,44
E1206,E1206,25.75732,-80.12549,2008,3
E1208,E1208,25.966720000000002,-80.11196,2008,20
E1209,E1209,25.96302,-80.10838000000001,2008,42
E1210,E1210,26.01005,-80.10964,2008,7
E1211,E1211,25.85473,-80.10882,2008,13
E1212,E1212,25.88363,-80.10859,2008,26
E1213,E1213,25.94322,-80.10814,2008,37
E1214,E1214,26.02448,-80.10753000000001,2008,4
E1215,E1215,25.95947,-80.10605,2008,15
E1216,E1216,26.02627,-80.10552,2008,5
E1217,E1217,26.044320000000003,-80.10338,2008,14
E1219,E1219,25.89623,-80.1025,2008,22
E1220,E1220,26.05153,-80.10133,2008,9
E1221,E1221,26.06597,-80.10122,2008,13
E1222,E1222,25.90599,-80.10188000000001,2008,35
